decile,min_score,max_score,avg_score,bad_rate,total_volume,total_bads,cum_bad_pct,volume_pct
1,0.027738361497595773,0.10378776489103429,0.08329119469539951,0.06692925717686489,127702,8547,3.246760646844978,10.06150263076203
2,0.10485201405627868,0.12823699236240618,0.11740981795061406,0.09505735885375433,128838,12247,7.899045383233237,10.15100684360557
3,0.12951571566174205,0.15002610503565111,0.14059509786748395,0.11732856162217611,129653,15212,13.677648748133883,10.215219813207229
4,0.15148434505837063,0.1699015258835327,0.16067535221002974,0.1388015117780824,126209,17518,20.332235505057987,9.943870773565372
5,0.17151397043371922,0.1900562981340853,0.180984908609834,0.1717623487465884,126774,21775,28.603934707707968,9.988386513227871
6,0.1918158210618267,0.21199136808801589,0.20139559491373685,0.21980772922131933,125032,27483,39.04393972201013,9.85113621501181
7,0.2139003337192899,0.2419327446533985,0.2291316628870662,0.2522804195061241,131774,33244,51.67238373086873,10.382331112011055
8,0.24402783510402112,0.2791904012322271,0.2615751355045575,0.29799289733051354,125305,37340,65.8567808939893,9.872645590105373
9,0.2814883303535851,0.3297558710621934,0.30393133075825673,0.3385857790033484,121848,41256,81.52875436377242,9.600272294506679
10,0.33227813455867916,0.9950562301317698,0.40334522646827886,0.3856708888871263,126079,48625,100.0,9.93362821399701
