decil,min_score,max_score,media_score,volume,bads,bad_rate,volume_pct,captura_bads,captura_acumulada
1,0.03980683583442888,0.06108191558698084,0.05687443422978093,128166,7764,0.060577688310472354,10.098060689529111,2.949321359787576,2.949321359787576
2,0.0611074272843623,0.08427034393552708,0.07023459876452304,125973,9060,0.07192017337048415,9.925276588502806,3.4416346625032763,6.390956022290853
3,0.08428970099926607,0.10448039061836342,0.09792986899202004,136948,13749,0.10039577065747583,10.789984982831895,5.222851542467721,11.613807564758574
4,0.10452708709384785,0.1385150942484142,0.12387481001266971,120363,14962,0.12430730373952129,9.483270748668074,5.683635521012585,17.297443085771157
5,0.138537902046092,0.17478358105675268,0.1623047670728429,137709,21897,0.15900921508398144,10.849943350766695,8.318043510467357,25.61548659623851
6,0.17491418268310466,0.22133202008304817,0.2008848037046301,113030,22674,0.20060161019198444,8.905511600092655,8.613203569271445,34.22869016550996
7,0.22177218206092486,0.27717915678338556,0.24899270131790885,130839,31604,0.24154877368368757,10.3086634720386,12.005454952952931,46.23414511846289
8,0.2773202914724533,0.3277269155527291,0.29620984659118316,122646,35214,0.28711902548798984,9.663145852472475,13.37679061869651,59.6109357371594
9,0.3280533965769371,0.43484742075090965,0.3959945533334339,151508,59789,0.3946260263484436,11.937151654488526,22.712129672892758,82.32306541005215
10,0.4354747301742608,0.5146171390109799,0.4393399714998828,102032,46534,0.4560726046730437,8.038991060609165,17.676934589947845,100.0
