decil,min_score,max_score,media_score,volume,bads,bad_rate,volume_pct,captura_bads,captura_acumulada
1,0.03980683583442888,0.06182757581061359,0.057116082442011454,44933,2994,0.0666325417844346,10.3574021782977,3.3111044756312,3.3111044756312
2,0.06192437001121959,0.08972048614641948,0.07646993126318194,54483,4627,0.0849255731145495,12.558750648302889,5.117060924764718,8.428165400395917
3,0.08981993112184788,0.10448039061836342,0.1017455212062176,33646,3663,0.10886881055697557,7.755661845214084,4.0509604857171295,12.479125886113046
4,0.10452708709384785,0.1385150942484142,0.12417551348065387,41677,5413,0.12987978981212658,9.60686912925719,5.9863087931167955,18.46543467922984
5,0.138537902046092,0.17478358105675268,0.16206549935262943,48355,7765,0.16058318684727535,11.14619950440846,8.587416918261946,27.052851597491788
6,0.17538264769831316,0.2180707707524186,0.19998661129567857,37279,7450,0.19984441642747927,8.593096294588833,8.239054222930006,35.291905820421796
7,0.21883108009444033,0.27717915678338556,0.24790703986187781,46433,10999,0.2368789438545862,10.70316371808909,12.163940590336528,47.455846410758326
8,0.2773202914724533,0.32657704288107264,0.29582932113105964,40337,11613,0.2878994471576964,9.297988820376881,12.842971367904182,60.29881777866251
9,0.3277269155527291,0.4227944949703856,0.3855553347650014,43392,16136,0.37186578171091444,10.002189823085345,17.845017307543433,78.14383508620594
10,0.42480728236877097,0.5146171390109799,0.4388473020164007,43290,19763,0.4565257565257565,9.978678038379531,21.856164913794057,100.0
