decile,min_score,max_score,avg_score,bad_rate,total_volume,total_bads,cum_bad_pct,volume_pct
1,0.03613953844416275,0.06311886802757201,0.05373467341433238,0.055795623213202014,136767,7631,2.898798466839128,10.775724188355944
2,0.06311886802757204,0.08415646559076145,0.07416719370651313,0.07719179816049279,118510,9148,6.373861810391002,9.337274880359026
3,0.08415742343065077,0.10980248081910614,0.09632323619493999,0.09829944803270232,129899,12769,11.224439404817529,10.234601887467361
4,0.1098024808191062,0.14019034126275795,0.12427400161713364,0.12275947631329785,122516,15040,16.937704893123186,9.652903292904112
5,0.1401953626501924,0.17619992962664102,0.1577239452716466,0.1568428184281843,126936,19909,24.500564108992695,10.001150318228447
6,0.17620372200147907,0.21922529970537255,0.1977143765418884,0.1951282533120361,127716,24921,33.96733865913002,10.062605675638624
7,0.21922704928756934,0.2681761788185142,0.2436337595184893,0.23842130290061816,126180,30084,45.39538912124355,9.94158589489243
8,0.26818578524615366,0.32493707777265984,0.295805868598306,0.29237011068657187,126935,37112,59.493175610738206,10.00107152930869
9,0.32494574423128647,0.411264828315105,0.3628031336752242,0.3629013954434818,127773,46369,77.10743142371993,10.067096644064751
10,0.41128476475238673,0.5596269248227123,0.47190637408428976,0.4783540505786541,125982,60264,100.0,9.925985688780615
