decil,min_score,max_score,media_score,volume,bads,bad_rate,volume_pct,captura_bads,captura_acumulada
1,0.03613953844416275,0.06311886802757201,0.05373467341433238,136767,7631,0.055795623213202014,10.775724188355944,2.898798466839128,2.898798466839128
2,0.06311886802757204,0.08415646559076145,0.07416719370651313,118510,9148,0.07719179816049279,9.337274880359026,3.4750633435518736,6.373861810391002
3,0.08415742343065077,0.10980248081910614,0.09632323619493999,129899,12769,0.09829944803270232,10.234601887467361,4.850577594426527,11.224439404817529
4,0.1098024808191062,0.14019034126275795,0.12427400161713364,122516,15040,0.12275947631329785,9.652903292904112,5.71326548830566,16.93770489312319
5,0.1401953626501924,0.17619992962664102,0.1577239452716466,126936,19909,0.1568428184281843,10.001150318228447,7.562859215869507,24.500564108992698
6,0.17620372200147907,0.21922529970537255,0.1977143765418884,127716,24921,0.1951282533120361,10.062605675638624,9.466774550137323,33.96733865913002
7,0.21922704928756934,0.2681761788185142,0.2436337595184893,126180,30084,0.23842130290061816,9.94158589489243,11.428050462113529,45.395389121243554
8,0.26818578524615366,0.32493707777265984,0.295805868598306,126935,37112,0.29237011068657187,10.00107152930869,14.097786489494657,59.49317561073821
9,0.32494574423128647,0.411264828315105,0.3628031336752242,127773,46369,0.3629013954434818,10.067096644064751,17.614255812981725,77.10743142371993
10,0.41128476475238673,0.5596269248227123,0.47190637408428976,125982,60264,0.4783540505786541,9.925985688780615,22.892568576280073,100.0
