decil,min_score,max_score,media_score,volume,bads,bad_rate,volume_pct,captura_bads,captura_acumulada
1,0.03613953844416275,0.06320805666971002,0.053917830648754064,43385,2692,0.062049095309438744,10.000576269232987,2.9771186534399434,2.9771186534399434
2,0.06321527766069535,0.08576828379649556,0.07555833732058514,46240,3834,0.0829152249134948,10.658675733302598,4.2400716631830395,7.2171903166229825
3,0.08576903112994012,0.10988310364644194,0.09779255575341565,40551,4270,0.10529949939582255,9.347317466720453,4.722249870055185,11.939440186678167
4,0.10989059807544761,0.14030040265094149,0.1244235967092786,43498,5698,0.13099452848406823,10.026623638563938,6.301494088893313,18.24093427557148
5,0.14030612136677528,0.17480022810657006,0.157351795579188,43380,6691,0.15424158598432458,9.999423730767013,7.399666014177808,25.640600289749287
6,0.1748095214914039,0.2175839030374595,0.19647261251857281,43433,8468,0.19496696060599084,10.011640638506309,9.364873981177356,35.00547427092664
7,0.2175949725185764,0.26805029651412776,0.24186160740369392,43211,10130,0.23443104764990397,9.960467930617185,11.20290191654778,46.20837618747442
8,0.26805471056971736,0.323435668851901,0.29433168694739587,43600,12504,0.2867889908256881,10.05013542326975,13.828340134700243,60.03671632217466
9,0.3234494016953236,0.4088466656808033,0.3615831289504758,43337,15468,0.35692364492235273,9.98951189995966,17.106267210776018,77.14298353295068
10,0.4088518425256752,0.552761047535253,0.4710922619178705,43190,20668,0.47853669830979395,9.955627269060106,22.857016467049313,100.0
