feature,gain
SCORE_02,0.31607014
FLAG_var_17,0.16238424
SCORE_01,0.10369378
var_17_None,0.047558296
var_15_None,0.019784294
var_73,0.018297102
var_93,0.015569259
FLAG_var_15,0.014569209
flag_mig2_FLEX,0.014260784
var_05_None,0.0131861055
flag_mig2_Aquisição,0.012897756
var_17_202311,0.010424772
flag_mig2_PRE,0.010056824
REGIAO_GEO_OUTROS,0.009448314
var_09_9,0.008524275
var_35,0.007854098
var_05_1,0.007589723
var_05_2,0.0069068284
STATUSRF_REGULAR,0.006742868
var_04_0,0.0064784978
REGIAO_GEO_PE_PB_AL_RN,0.0063749477
var_15_CE,0.005431559
REGIAO_GEO_PR_SC,0.004991927
var_05_9,0.004989562
REGIAO_GEO_SP,0.004735767
STATUSRF_PENDENTE DE REGULARIZACAO,0.004718272
REGIAO_GEO_BA,0.004681059
var_04_None,0.004671594
var_09_None,0.004653119
var_15_MA,0.004461996
var_15_SP,0.0043398747
TEMPO_REL_ANOS,0.004175447
REGIAO_GEO_CE_PI_MA,0.0040155635
REGIAO_GEO_RS,0.003990242
var_09_8,0.0038593693
var_04_3,0.003708454
var_15_AM,0.0034722048
var_15_RO,0.0033177147
REGIAO_GEO_DF_GO_MT_MS,0.0032927245
var_05_4,0.003283067
var_15_RS,0.003273777
var_09_2,0.0032678181
var_15_MG,0.0032265221
var_05_6,0.0031399764
var_15_PB,0.0031197092
var_04_2,0.003062304
var_17_202111,0.0029933248
REGIAO_GEO_RJ_ES,0.0029142348
var_09_7,0.0028142936
var_05_3,0.0027249581
var_04_1,0.0027231255
var_15_PA,0.0027209043
var_09_6,0.0026610906
var_15_PE,0.002640669
var_05_5,0.0025954936
var_09_1,0.0025867233
var_15_AC,0.0025187298
var_15_GO,0.0024831484
var_15_RJ,0.0023665312
var_09_3,0.0023635905
var_05_8,0.0023349116
var_17_202110,0.002318134
var_15_BA,0.0022303115
var_15_PI,0.002221322
var_09_5,0.002191023
var_15_RN,0.0021872565
var_17_202002,0.0021313094
var_15_DF,0.0021212453
var_15_AL,0.0021206164
var_04_5,0.002085832
var_05_7,0.0020780535
var_15_MT,0.001995914
var_15_TO,0.0019499318
var_09_4,0.0019076467
var_04_4,0.0019051502
var_15_MS,0.0018182618
var_15_ES,0.0017869375
var_15_AP,0.0017499554
var_15_SE,0.0016049024
var_15_PR,0.0015714384
var_17_202012,0.0014635962
var_15_SC,0.0013741371
STATUSRF_None,0.0011934642
var_05_10,0.0
var_09_17,0.0
var_09_14,0.0
var_09_10,0.0
var_09_11,0.0
var_09_13,0.0
var_09_18,0.0
var_15_RR,0.0
var_17_202003,0.0
var_17_202106,0.0
var_17_202107,0.0
var_17_202011,0.0
var_17_202105,0.0
var_17_202010,0.0
var_17_202004,0.0
var_17_202008,0.0
var_17_202009,0.0
var_17_202001,0.0
STATUSRF_TITULAR FALECIDO,0.0
STATUSRF_SUSPENSA,0.0
var_17_202308,0.0
var_17_202306,0.0
var_17_202310,0.0
STATUSRF_CANCELADA,0.0
var_25,0.0
