feature,coeficiente,erro_padrao,z_value,p_value,significativo,odds_ratio,impacto_pct
const,-1.342461,0.002375,-565.177271,0.000000,True,0.261202,-73.879784
SCORE_02,-0.831931,0.004277,-194.512842,0.000000,True,0.435208,-56.479186
SCORE_01,-0.298381,0.005065,-58.911128,0.000000,True,0.742019,-25.798138
var_93,-0.240752,0.016228,-14.835461,0.000000,True,0.786036,-21.396365
FLAG_var_17,-0.183604,0.010646,-17.246724,0.000000,True,0.832265,-16.773494
flag_mig2_Aquisição,0.121894,0.016169,7.538657,0.000000,True,1.129635,12.963471
var_35,0.115692,0.008607,13.441699,0.000000,True,1.122650,12.265025
var_09_9,-0.095763,0.012560,-7.624348,0.000000,True,0.908679,-9.132092
var_73,-0.065507,0.011580,-5.657098,0.000000,True,0.936592,-6.340782
var_05_1,-0.038308,0.011747,-3.261114,0.001110,True,0.962416,-3.758394
