variavel,iv,n_bins
SCORE_02,0.626335662327487,10
SCORE_01,0.4173060914478366,10
var_35,0.19254505213326853,8
sum_vlr_total_bonus_u12m,0.1410283164446415,10
sum_vlr_total_bonus_u9m,0.1406480133462421,10
sum_vlr_total_real_u12m,0.13543555473767824,10
sum_vlr_total_bonus_u6m,0.12332116748075121,10
sum_vlr_total_real_u6m,0.11672156483725711,10
sum_vlr_total_real_u3m,0.11598519081671978,10
vlr_total_real,0.11387429850971334,9
mean_pct_rec_sos_u12m,0.09421684576213657,4
mean_pct_rec_sos_u9m,0.09184800471182657,4
vlr_medio_real,0.09122880257407165,9
vlr_medio_bonus,0.08880379347982247,9
qtd_rec_sos_u12m,0.07836313833597428,5
qtd_canais_distintos_u12m,0.07836313833597428,5
sum_qtd_rec_sos_u9m,0.06398110944295406,4
sum_qtd_rec_sos_u12m,0.060217527097295206,4
qtd_meses_uso_sos_u9m,0.058383771313483046,4
qtd_meses_uso_sos_u12m,0.05554174222097137,4
var_73,0.05181493194456997,4
qtd_meses_uso_sos_u6m,0.04688629460314765,3
var_93,0.04520131788145376,5
qtd_meses_uso_recarga_adicional_controle_u9m,0.03510716025359066,3
std_pct_rec_com_bonus_u9m,0.032926714043918906,10
std_pct_rec_com_bonus_u12m,0.03231612778712223,10
std_pct_rec_com_bonus_u6m,0.02890657478207619,10
mean_gap_medio_recarga_u1m,0.018386094791961488,8
sum_vlr_recarga_u6m,0.011984310874897822,7
sum_vlr_recarga_u3m,0.006251380341922647,7
