decil,qtd,qtd_fpd,taxa_fpd,prob_min,prob_max,prob_media,pct_fpd_acum
1,82060,5484,0.06682914940287595,0.010932539098815232,0.08994393176300342,0.06652775172553359,3.1949477412814744
2,82060,7048,0.08588837436022423,0.0899443688797189,0.12646077021905108,0.10889392135049089,7.301073138902159
3,82058,8898,0.10843549684369592,0.12646213797377007,0.16742881354569683,0.14710949276464588,12.484998193957331
4,82059,10901,0.13284344191374498,0.1674299144240015,0.21249961160351347,0.18879932527245036,18.83585985108887
5,82060,12994,0.15834755057275166,0.21250697645746414,0.2633636629761987,0.23689656992134112,26.406091607144937
6,82059,15916,0.19395800582507708,0.263365394581829,0.31796489730720523,0.28957832520000726,35.67866422753807
7,82059,19215,0.23416078675099625,0.3179659982601271,0.3770768003648876,0.3468593460183059,46.87321580462114
8,82059,23275,0.28363738285867485,0.37708929286056464,0.4431296611205537,0.4101558381865907,60.43310068396583
9,82059,28974,0.35308741271524147,0.4431438145857547,0.5255329019486848,0.482476914454469,77.31319110261819
10,82060,38941,0.4745430173044114,0.5255391912696853,0.8134597492076572,0.5929745232142413,100.0
